Year,number,IF,PF,IF_proportion
1940,plural,6.293217130054485e-08,4.700555635700487e-09,0.9304988006748344
1940,singular,2.745854240857049e-07,8.465459708228984e-09,0.9700920922953487
1941,plural,7.082765353660926e-08,5.473737010874835e-09,0.9282616349243544
1941,singular,3.0456692258762353e-07,8.685739633085276e-09,0.9722724155909469
1942,plural,7.921233118278008e-08,5.1520206665693164e-09,0.9389313074345743
1942,singular,3.718122854277454e-07,8.766411094725719e-09,0.9769655759115563
1943,plural,8.01860018126829e-08,4.9901171746334424e-09,0.9414141283500306
1943,singular,3.738343459751865e-07,9.214821746919962e-09,0.9759435014525207
1944,plural,8.904235624821298e-08,5.65831346459917e-09,0.9402505443545597
1944,singular,4.080682940879995e-07,1.0190167104969942e-08,0.9756366743283442
1945,plural,9.451303461884197e-08,5.473476765081665e-09,0.9452578483905207
1945,singular,4.216745638020912e-07,9.330998093240846e-09,0.9783506318289533
1946,plural,1.0198821572985193e-07,5.183284672503697e-09,0.9516356059862555
1946,singular,4.527214199753375e-07,9.977862625417825e-09,0.9784355346968902
1947,plural,1.1066766373143569e-07,7.574830027112789e-09,0.9359381742863051
1947,singular,4.5883787763711936e-07,1.110259987121712e-08,0.9763744550584703
1948,plural,1.1234569460045436e-07,7.122432023133816e-09,0.9403821569448839
1948,singular,4.5913854668233617e-07,1.093660866234382e-08,0.9767343401624266
1949,plural,1.1655909030223415e-07,7.5580656812489e-09,0.939105391020604
1949,singular,4.093317202651698e-07,1.0919747552613172e-08,0.9740161584460001
1950,plural,1.3303750749847435e-07,8.289590781664278e-09,0.9413446473992365
1950,singular,4.2934589908735384e-07,1.607236207615667e-08,0.9639162479908819
1951,plural,1.4701451291660688e-07,9.05132441715782e-09,0.9420031662803915
1951,singular,4.312770512085055e-07,1.6058277829490904e-08,0.9641023706667109
1952,plural,1.631050978049117e-07,1.01318023673239e-08,0.9415147560522575
1952,singular,4.485192795837336e-07,1.6062681570751444e-08,0.9654255160255562
1953,plural,1.81543139887124e-07,1.0376408669798831e-08,0.9459335500327044
1953,singular,4.6455766261709655e-07,1.6204735547467993e-08,0.9662936710330639
1954,plural,1.9647029650503897e-07,8.813955333443677e-09,0.9570646298753667
1954,singular,4.832450132998585e-07,1.7299471000550452e-08,0.9654386941757449
1955,plural,2.1413647191845643e-07,9.60614166287518e-09,0.9570661059638365
1955,singular,4.834072079742165e-07,1.884780123243398e-08,0.962473642100244
1956,plural,2.2518187168787553e-07,1.0018092567811086e-08,0.9574060625412324
1956,singular,4.991534219894336e-07,1.9562121902508674e-08,0.9622873805636645
1957,plural,2.426205794018548e-07,1.0536049879772413e-08,0.9583812997128689
1957,singular,4.852642085116852e-07,1.66384653901841e-08,0.9668492194695157
1958,plural,2.4595052703694854e-07,1.000040098052863e-08,0.9609284441436141
1958,singular,4.861625211998099e-07,1.6531942514346517e-08,0.9671133388018633
1959,plural,2.490790602432561e-07,1.0188665620517297e-08,0.960702144524264
1959,singular,4.7107029721735587e-07,1.8204556538812892e-08,0.9627927811963842
1960,plural,2.475697102262618e-07,1.1052429073145551e-08,0.957264180463877
1960,singular,4.6192685607920106e-07,1.8553598023020512e-08,0.9613853219946523
1961,plural,2.4489510989735207e-07,1.1564226288864251e-08,0.9549081485554989
1961,singular,4.3771962072606095e-07,1.7363244587160446e-08,0.9618459715568289
1962,plural,2.5800890444762e-07,1.1946900576955052e-08,0.9557449761976132
1962,singular,4.454240996221952e-07,1.656292532788349e-08,0.964148505405161
1963,plural,2.6891107949527413e-07,1.1929333571565019e-08,0.9575227317133811
1963,singular,4.4316458798487895e-07,1.7549248772428886e-08,0.9619085701963117
1964,plural,2.8746075057817233e-07,1.1780211196402553e-08,0.9606330258847487
1964,singular,4.4724151247930805e-07,1.650234571314619e-08,0.9644149557527989
1965,plural,3.0399052156666287e-07,1.2100851879058374e-08,0.9617172346491248
1965,singular,4.3769028983715277e-07,1.6442672542971163e-08,0.9637932634160827
1966,plural,3.178846366741087e-07,1.2011393895378878e-08,0.9635903655019915
1966,singular,4.4695387324346563e-07,1.5719945070856245e-08,0.9660236986650134
1967,plural,3.392930236935972e-07,1.2011294837712048e-08,0.9658094301603595
1967,singular,4.4537507941763306e-07,1.5679525340793277e-08,0.9659920426366662
1968,plural,3.671391669974957e-07,1.2412806151987762e-08,0.9672961622383686
1968,singular,4.6452795326208076e-07,1.5155750349160613e-08,0.9684047003576267
1969,plural,3.9238838398851306e-07,1.3764959764279398e-08,0.9661089586580937
1969,singular,4.722602112031523e-07,1.709696327270186e-08,0.9650624039771885
1970,plural,4.157551626195784e-07,1.5857894961454226e-08,0.9632590008969388
1970,singular,5.001394468731998e-07,1.671955684417232e-08,0.9676516095803279
1971,plural,4.531473916092956e-07,1.8835154215072047e-08,0.9600935365476821
1971,singular,5.239757377488243e-07,1.8914717227996077e-08,0.9651592378267111
1972,plural,4.976232133352014e-07,2.3228820297815922e-08,0.9554022662908858
1972,singular,5.75852897570704e-07,2.38914208327715e-08,0.9601639897208687
1973,plural,5.726534373392308e-07,2.9752660967877605e-08,0.9506102925393867
1973,singular,6.064409078194008e-07,2.922091731281741e-08,0.9540307186030254
1974,plural,6.733696554368586e-07,4.210020082898169e-08,0.9411572682478758
1974,singular,6.535667208064565e-07,3.657404279978706e-08,0.9470049521366133
1975,plural,7.415907479451408e-07,4.86351469152332e-08,0.9384541214967062
1975,singular,6.76199623107776e-07,4.307546101310027e-08,0.9401126746024455
1976,plural,8.394739863858533e-07,5.163142063890903e-08,0.942059132138703
1976,singular,7.112145571180697e-07,4.348018426999263e-08,0.9423870581236299
