Year,schizophrenic person_ntf,schizophrenic people_ntf,person with schizophrenia_ntf,people with schizophrenia_ntf,psychotic person_ntf,psychotic people_ntf,person with psychosis_ntf,people with psychosis_ntf,alcoholic person_ntf,alcoholic people_ntf,person with alcoholism_ntf,people with alcoholism_ntf,bipolar person_ntf,bipolar people_ntf,person with bipolar_ntf,people with bipolar_ntf,anorexic person_ntf,anorexic people_ntf,person with anorexia_ntf,people with anorexia_ntf,bulimic person_ntf,bulimic people_ntf,person with bulimia_ntf,people with bulimia_ntf,autistic person_ntf,autistic people_ntf,person with autism_ntf,people with autism_ntf,mentally ill person_ntf,mentally ill people_ntf,person with mental illness_ntf,person with a mental illness_ntf,people with mental illness_ntf,people with a mental illness_ntf,anxious person_ntf,anxious people_ntf,person with anxiety_ntf,people with anxiety_ntf,depressed person_ntf,depressed people_ntf,person with depression_ntf,people with depression_ntf,disabled person_ntf,disabled people_ntf,person with disability_ntf,person with a disability_ntf,people with disability_ntf,people with a disability_ntf,diabetic person_ntf,diabetic people_ntf,person with diabetes_ntf,people with diabetes_ntf,obese person_ntf,obese people_ntf,person with obesity_ntf,people with obesity_ntf,epileptic person_ntf,epileptic people_ntf,person with epilepsy_ntf,people with epilepsy_ntf,dyslexic person_ntf,dyslexic people_ntf,person with dyslexia_ntf,people with dyslexia_ntf
1940,2.059149406541394e-09,4.828450694827069e-10,2.366781944040941e-10,1.9740396470235844e-10,6.613157244039769e-09,1.6523271639812265e-09,0.0,9.027641828529553e-11,3.598871700649653e-09,1.5513217099805132e-10,2.6496527888442145e-10,0.0,0.0,0.0,0.0,9.027641828529553e-11,0.0,0.0,3.806643888992767e-11,3.806643888992767e-11,0.0,0.0,0.0,0.0,4.2909863162687856e-11,7.231756860015537e-11,0.0,0.0,5.8400303259986686e-08,4.203314973860728e-09,8.037317339448791e-11,3.2681907180531766e-10,1.6202801947362566e-10,8.505499776712e-11,5.345775266896169e-09,1.5002824316212582e-08,5.024853901025583e-10,5.817007917019446e-10,4.862750480061351e-09,7.321731554377209e-09,0.0,0.0,1.6603258501390883e-07,2.8439066657170997e-08,1.3541462395849635e-10,3.398109849062081e-09,1.2797698317745798e-10,3.2149269357795163e-10,6.794632745332763e-09,9.694962679884789e-10,2.3467014442779544e-09,2.5918293344862064e-09,1.1694940793560704e-08,4.522355379066312e-09,3.806643888992767e-11,0.0,9.14034831156485e-09,1.1076017880640165e-10,9.45514049000007e-10,4.1444957535330396e-10,0.0,0.0,1.5226575555971067e-10,0.0
1941,2.1612826195394063e-09,4.5969935635881145e-10,3.823925537327355e-10,2.737531618057787e-10,6.3184519838443975e-09,1.652266590213003e-09,0.0,7.222113462823643e-11,3.062655618002452e-09,1.2410573679844107e-10,2.1197222310753717e-10,0.0,0.0,0.0,0.0,7.222113462823643e-11,0.0,0.0,3.045315111194213e-11,3.045315111194213e-11,0.0,0.0,0.0,0.0,1.4446283613800404e-10,5.7854054880124295e-11,0.0,7.721999706333804e-11,6.656578221964082e-08,4.791221952515911e-09,1.8644467636441676e-10,3.475248699924549e-10,2.92483928743259e-10,1.5411361076189678e-10,5.524816337754146e-09,1.4608786713665722e-08,4.4059831061371567e-10,4.6536063336155566e-10,5.468801278496471e-09,7.105581367738978e-09,0.0,0.0,1.8715930991675122e-07,3.633456380214284e-08,3.013816973762573e-10,2.8406340168984913e-09,1.0238158654196638e-10,9.493555941375575e-10,7.821963432519397e-09,8.490203151634291e-10,2.572341140094636e-09,2.189293457632857e-09,1.1521940024294963e-08,4.755945504086867e-09,6.906314964361116e-11,0.0,8.817456320642236e-09,8.860814304512132e-11,1.18112123970171e-09,7.948796204582109e-10,0.0,0.0,1.2181260444776853e-10,0.0
1942,2.354012503443433e-09,4.660243487405088e-10,3.1866046144394627e-10,2.281276348381489e-10,5.873614668712908e-09,1.6810078329321243e-09,2.9059386841279178e-11,6.018427885686369e-11,2.6904489284588586e-09,1.3106863048599018e-10,1.7664351925628097e-10,0.0,0.0,0.0,0.0,6.018427885686369e-11,0.0,0.0,2.5377625926618446e-11,2.5377625926618446e-11,0.0,0.0,0.0,0.0,1.2038569678167002e-10,4.821171240010358e-11,0.0,6.43499975527817e-11,7.839934212938715e-08,5.271298027705503e-09,1.5537056363701396e-10,2.896040583270458e-10,2.743602312930508e-10,1.2842800896824733e-10,5.378134752357748e-09,1.4745176931304135e-08,4.543434216815652e-10,3.8780052780129637e-10,6.271459684903391e-09,6.999557970270113e-09,0.0,5.8118773682558356e-11,2.421976527481699e-07,4.46276914682168e-08,2.5115141448021444e-10,2.7040548874109524e-09,8.531798878497199e-11,9.44247781816306e-10,7.098893695101083e-09,7.904584810776901e-10,2.2889145486389615e-09,1.882529988376606e-09,1.0320443462793113e-08,4.267406927827011e-09,5.7552624703009293e-11,2.9059386841279178e-11,1.110789715763616e-08,1.844288518200917e-10,1.914168078672359e-09,9.239341629737238e-10,0.0,0.0,1.0151050370647378e-10,0.0
1943,2.4461729467414475e-09,3.994494417775789e-10,2.9459086360793055e-10,1.9553797271841334e-10,6.197456928599568e-09,1.6652889702127384e-09,2.490804586395358e-11,5.158652473445459e-11,2.489719628874708e-09,1.531491064917948e-10,3.0158200143531085e-10,2.1453325227405173e-11,0.0,0.0,0.0,5.158652473445459e-11,0.0,0.0,2.175225079424438e-11,2.175225079424438e-11,0.0,0.0,0.0,0.0,1.439923061738061e-10,4.13243249143745e-11,0.0,5.5157140759527174e-11,7.492263317690881e-08,5.5051084008843935e-09,1.7841184878670495e-10,3.677465990456089e-10,5.292069262966389e-10,1.1008115054421199e-10,5.6299439396160065e-09,1.4780962739483324e-08,4.323438690390091e-10,3.5385377762851636e-10,6.028409929978043e-09,6.7953101558414025e-09,0.0,4.981609172790716e-11,2.472600247723936e-07,4.4699428666409146e-08,2.1527264098304093e-10,2.566565277766537e-09,7.312970467283314e-11,8.319737815343231e-10,7.1048801762531505e-09,1.0651792186384362e-09,2.498259892609005e-09,1.742317088223747e-09,1.0151840511087227e-08,4.881914348965819e-09,4.933082117400797e-11,2.490804586395358e-11,1.1459271658560105e-08,1.9888643906388178e-10,2.1770486326376316e-09,8.777568691728125e-10,0.0,0.0,8.700900317697752e-11,0.0
1944,2.725396416484013e-09,4.2902370545050417e-10,3.859763778432271e-10,3.2833722843747127e-10,6.33920119571688e-09,1.875572601990021e-09,2.490804586395358e-11,5.158652473445459e-11,2.5621235212801098e-09,2.4340364842715244e-10,2.791395844628905e-10,4.042464775620504e-11,0.0,0.0,0.0,5.158652473445459e-11,0.0,0.0,2.175225079424438e-11,2.175225079424438e-11,0.0,0.0,0.0,0.0,2.161959381360593e-10,4.13243249143745e-11,0.0,5.5157140759527174e-11,9.27683040227326e-08,5.949528076547901e-09,2.383837888990976e-10,4.060040795624989e-10,5.654827162082654e-10,1.1008115054421199e-10,6.05244343532263e-09,1.4407160163289388e-08,3.6154552367812746e-10,3.4691158874127533e-10,7.661651916076754e-09,6.894625378553851e-09,0.0,1.2570138184310664e-10,2.5848939547553786e-07,5.2057542023119045e-08,2.342439635118408e-10,2.6457486043288523e-09,1.645152189081297e-10,8.51964427577607e-10,7.44518446893494e-09,1.1571657957240182e-09,2.58407968832332e-09,1.966262458408252e-09,1.1180011710061016e-08,5.7766007374330084e-09,6.830214370280783e-11,2.490804586395358e-11,1.2628385987716634e-08,2.104097927637026e-10,2.8530740508221034e-09,9.536421592880119e-10,0.0,0.0,8.700900317697752e-11,0.0
1945,2.5854232881578857e-09,2.965901928814978e-10,2.9896737466624957e-10,2.413282252604938e-10,6.065758784146169e-09,1.7571825740501724e-09,2.490804586395358e-11,1.2666420690088387e-10,2.638153497245911e-09,2.1992130933805905e-10,3.354478441051713e-10,4.042464775620504e-11,0.0,0.0,0.0,5.158652473445459e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.589318247383082e-10,0.0,0.0,5.5157140759527174e-11,9.29583676066516e-08,6.3787488624456046e-09,3.1124760308769746e-10,3.9926838819275597e-10,5.75785657248267e-10,6.147829467728627e-11,6.577285827091828e-09,1.4427535230002571e-08,3.36810442631246e-10,2.5691975531166074e-10,8.015614077245509e-09,7.559383468398145e-09,0.0,1.2570138184310664e-10,2.729997155321533e-07,5.599711170946518e-08,2.342439635118408e-10,2.031314164493584e-09,1.645152189081297e-10,6.682543169616346e-10,7.52961756437084e-09,1.2970815017292787e-09,2.6045939770037917e-09,2.142025338848695e-09,1.1229566990575028e-08,6.1934702921817575e-09,4.6549892908563455e-11,2.490804586395358e-11,1.071612880971478e-08,3.860094783496899e-10,2.707646396775993e-09,9.387280100073676e-10,0.0,0.0,0.0,0.0
1946,2.632021346902848e-09,4.538089943511332e-10,2.9896737466624957e-10,2.413282252604938e-10,6.606587626174181e-09,2.25250026567433e-09,2.490804586395358e-11,1.2666420690088387e-10,1.501927304747852e-09,1.8833263520130165e-10,3.354478441051713e-10,4.042464775620504e-11,0.0,0.0,0.0,5.158652473445459e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.21867647957898e-10,0.0,0.0,8.825334907314186e-11,1.0472450995280269e-07,7.469773878808285e-09,4.508564355187872e-10,3.8061879045362245e-10,7.851989058949016e-10,6.147829467728627e-11,7.117752355765918e-09,1.3642968025148353e-08,3.284645214548679e-10,2.2367980880209715e-10,8.359587371537763e-09,7.407314507799713e-09,1.6548104156807344e-11,1.2570138184310664e-10,2.8942261159110263e-07,6.238589987463326e-08,2.673401718254555e-10,2.3271271259212814e-09,1.3962119357494426e-10,6.682543169616346e-10,7.667841726645617e-09,1.052178689413858e-09,2.61150251423814e-09,1.6592555781727976e-09,1.1230973103896043e-08,6.749429380471992e-09,4.6549892908563455e-11,2.490804586395358e-11,1.3035739947803954e-08,3.860094783496899e-10,2.889531804304925e-09,9.303820888309896e-10,0.0,0.0,0.0,1.6548104156807344e-11
1947,2.944766763768314e-09,7.529124030585572e-10,3.3940201641221735e-10,2.8176286700646157e-10,6.906067368766295e-09,2.525270770270538e-09,2.490804586395358e-11,7.507768216642928e-11,1.40537330185962e-09,2.355594885816714e-10,2.064815302864937e-10,4.042464775620504e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.390282823266748e-10,3.148456892024651e-11,0.0,8.825334907314186e-11,9.382957344428178e-08,8.082930832590104e-09,1.0794377495023814e-09,3.600044746437143e-10,8.72501864408142e-10,6.147829467728627e-11,7.802586259637273e-09,1.3708503031141715e-08,1.994982076361903e-10,2.1061232519896985e-10,8.433523530320436e-09,6.69690055791047e-09,1.6548104156807344e-11,1.422583578714054e-10,3.04458721091448e-07,6.761554820806331e-08,2.893022389110251e-10,2.2507869536423998e-09,1.1382793120771697e-10,7.730178719356218e-10,7.620703940907397e-09,2.3972375037420844e-09,3.3912542694660074e-09,3.848265932106441e-09,1.1816578065244293e-08,8.140853182046572e-09,4.6549892908563455e-11,4.146502189225235e-11,1.308095558855931e-08,4.804631851104294e-10,2.8984263877873673e-09,9.762218255993105e-10,0.0,0.0,0.0,4.9662056213404886e-11
1948,3.048962812382935e-09,8.792409142025345e-10,3.0410916047290167e-10,2.1612715981968377e-10,7.927067288296793e-09,2.598058260591277e-09,4.200804585138432e-11,7.507768216642928e-11,1.4205296700835796e-09,3.168202723978299e-10,2.064815302864937e-10,4.042464775620504e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.391341900169323e-10,3.148456892024651e-11,0.0,3.309620831361469e-11,9.827608796594437e-08,8.516023759191122e-09,1.1365198980341417e-09,3.1760567192102533e-10,7.922545595752593e-10,0.0,8.552485386559283e-09,1.4073243142271558e-08,1.7191963725642674e-10,2.448123251738313e-10,8.817401983155345e-09,6.65044400502016e-09,6.784810411909957e-11,1.422583578714054e-10,2.9750348825733196e-07,6.686812221395095e-08,1.5140938304712493e-10,2.380033804959071e-09,2.164279311323014e-10,2.786168438819102e-10,6.745094451231028e-09,2.409800914371374e-09,3.339440002303462e-09,4.210130232535596e-09,1.278852833154685e-08,9.489489051693413e-09,1.8971322528799864e-11,4.146502189225235e-11,1.3419766345787058e-08,5.129674978438764e-10,2.80026210156389e-09,7.820789968019223e-10,0.0,0.0,0.0,4.9662056213404886e-11
1949,3.1247563742858072e-09,1.0345138594975672e-09,3.211153228242582e-10,2.331333221710403e-10,9.20047701516832e-09,2.644595431533503e-09,1.709999998743074e-11,9.20838445177858e-11,1.4799005195901112e-09,3.09291665691523e-10,2.064815302864937e-10,4.042464775620504e-11,0.0,0.0,0.0,0.0,0.0,0.0,1.7006162351356532e-11,0.0,0.0,0.0,0.0,0.0,6.391341900169323e-10,4.765354777447328e-11,0.0,3.309620831361469e-11,8.595329502116198e-08,9.341766027404219e-09,1.172389447428352e-09,3.1760567192102533e-10,8.377448377862504e-10,0.0,9.699878614607575e-09,1.384198317871161e-08,1.3120782238473794e-10,2.6181848752518787e-10,8.722514964278259e-09,6.680207878925362e-09,6.784810411909957e-11,9.244226614349823e-11,2.561873831804665e-07,6.889479006336582e-08,1.5140938304712493e-10,2.3961879306152613e-09,2.334340934836579e-10,2.0117706706861734e-10,7.751160158164794e-09,2.4357220288325922e-09,3.5380168636070917e-09,4.585468211486849e-09,1.5470862686178018e-08,1.0684023760936562e-08,3.5977484880156396e-11,3.35631383796553e-11,1.1102357541251503e-08,6.445428595609165e-10,2.5474018291607845e-09,8.640175004031342e-10,0.0,0.0,0.0,4.9662056213404886e-11
