Year,number,IF,PF
1980,plural,1.2344323193209738e-06,6.920577265968698e-08
1980,singular,7.723392902239667e-07,4.809726229148706e-08
1981,plural,1.2880228921158652e-06,6.45214589732403e-08
1981,singular,7.654018849705322e-07,4.516569184923444e-08
1982,plural,1.3530263255207007e-06,6.852117857241475e-08
1982,singular,7.725194803377888e-07,4.555863232998312e-08
1983,plural,1.3950504239643763e-06,7.814552562337985e-08
1983,singular,7.69175874506593e-07,5.102179478662967e-08
1984,plural,1.417890013904922e-06,9.057050049080767e-08
1984,singular,7.666409672998325e-07,5.717194529553501e-08
1985,plural,1.3809731228097462e-06,1.0304399994189226e-07
1985,singular,7.469377245952757e-07,6.587034156071188e-08
1986,plural,1.3778786824941515e-06,1.1672985365608821e-07
1986,singular,7.425089115131336e-07,7.918968950274789e-08
1987,plural,1.3557454310076023e-06,1.3684079243347913e-07
1987,singular,7.39750264061292e-07,9.619093561456595e-08
1988,plural,1.3421300072033262e-06,1.6064541363428449e-07
1988,singular,7.233135893505122e-07,1.135286183841828e-07
1989,plural,1.372625550230643e-06,1.8467965647028795e-07
1989,singular,7.179575729780334e-07,1.3762832319134747e-07
1990,plural,1.393812881013324e-06,2.116159493559652e-07
1990,singular,7.027369207513497e-07,1.7223481175750774e-07
1991,plural,1.4136116681885293e-06,2.38907218605422e-07
1991,singular,6.88359834638453e-07,2.0040845628248913e-07
1992,plural,1.4399816224033063e-06,2.7182294336533917e-07
1992,singular,6.895087737410408e-07,2.2944971056085676e-07
1993,plural,1.4714976632527823e-06,3.094438174816979e-07
1993,singular,6.808372520716668e-07,2.5244296668931146e-07
1994,plural,1.5117235465467565e-06,3.4925219472312484e-07
1994,singular,6.696872223373372e-07,2.7443357987538437e-07
1995,plural,1.5775596048283761e-06,3.84252188515209e-07
1995,singular,6.87784274695989e-07,2.9451180039213483e-07
1996,plural,1.6330344320959555e-06,4.306575646413029e-07
1996,singular,6.908083977709621e-07,3.134422084844133e-07
1997,plural,1.6103916037257408e-06,4.797695426257092e-07
1997,singular,6.895294694148861e-07,3.1471756084384767e-07
1998,plural,1.6398267989980214e-06,5.330169739232409e-07
1998,singular,7.003574980592373e-07,3.211027741339967e-07
1999,plural,1.6730845389409784e-06,5.761601756962673e-07
1999,singular,6.936622737794907e-07,3.2098905337697913e-07
2000,plural,1.7244817630645322e-06,6.298253366066042e-07
2000,singular,6.959467098007924e-07,3.227073580778862e-07
2001,plural,1.7397146015372755e-06,6.86284973960838e-07
2001,singular,6.924286247513211e-07,3.2321827234413745e-07
2002,plural,1.7467010420764626e-06,7.589512642236508e-07
2002,singular,6.892519327783565e-07,3.27566569800367e-07
2003,plural,1.7753547740746918e-06,8.145680990675634e-07
2003,singular,6.763490820222666e-07,3.189513719496178e-07
2004,plural,1.7704341968552021e-06,8.508132679972493e-07
2004,singular,6.667788416046618e-07,3.205118631858477e-07
2005,plural,1.752481402465216e-06,8.94257925202321e-07
2005,singular,6.465362209297419e-07,3.2074192926314795e-07
2006,plural,1.7344980751855216e-06,9.442028451164423e-07
2006,singular,6.339630399096066e-07,3.2047606235331113e-07
2007,plural,1.672474487744911e-06,9.60695021724943e-07
2007,singular,6.070903668426679e-07,3.1862881251212445e-07
2008,plural,1.6063911711581915e-06,9.859814346567321e-07
2008,singular,5.911029010787138e-07,3.142724641308889e-07
2009,plural,1.5368997727685916e-06,9.924059602983704e-07
2009,singular,5.593609837698363e-07,3.008053017535579e-07
2010,plural,1.4661313207534453e-06,9.967533716499183e-07
2010,singular,5.412180592261657e-07,2.943176776648174e-07
2011,plural,1.439699055107356e-06,9.915895249028902e-07
2011,singular,5.265688699994188e-07,2.818075168527818e-07
2012,plural,1.4236836916513089e-06,9.88291689184097e-07
2012,singular,5.133590448252219e-07,2.7105219498851127e-07
2013,plural,1.4796169509691457e-06,1.0110537920850402e-06
2013,singular,5.032999331863344e-07,2.7066869779815826e-07
2014,plural,1.4625511314655552e-06,1.0071114603541327e-06
2014,singular,4.845233965512983e-07,2.6240672036262745e-07
2015,plural,1.475156679285407e-06,9.84173454922553e-07
2015,singular,4.683694566473154e-07,2.559667136561464e-07
2016,plural,1.4975653417070856e-06,9.652214213292813e-07
2016,singular,4.640439330770376e-07,2.590959435987734e-07
2017,plural,1.469418816804624e-06,9.59028728801196e-07
2017,singular,4.5275034443274337e-07,2.596478802380231e-07
2018,plural,1.5120919637123808e-06,9.785664199846166e-07
2018,singular,4.488091440879583e-07,2.630114787682825e-07
2019,plural,1.5286167270381346e-06,9.753135202794638e-07
2019,singular,4.4113911553539387e-07,2.675295004347933e-07
