target,Year,number,IF,PF,IF_proportion
alcoholic,1980,plural,1.0278046731165042e-08,1.7395800038550694e-09,0.8552476256575829
alcoholic,1980,singular,2.156016558935952e-08,1.607391727656956e-09,0.930618851799437
alcoholic,1981,plural,9.026233665261024e-09,1.743967811432664e-09,0.8380747272735293
alcoholic,1981,singular,1.7161713574052684e-08,1.2595018520197447e-09,0.9316276465538148
alcoholic,1982,plural,6.76409867799472e-09,1.625980207618584e-09,0.8062020357869703
alcoholic,1982,singular,1.5009422530251222e-08,1.3602042032394883e-09,0.9169068283972146
alcoholic,1983,plural,5.8512946234299895e-09,1.6169006451199103e-09,0.783495130084639
alcoholic,1983,singular,1.332702481704473e-08,1.4037807107212884e-09,0.9047044163284004
alcoholic,1984,plural,5.287040297626991e-09,1.4763967508863679e-09,0.781709101408597
alcoholic,1984,singular,1.1878900085804388e-08,1.2718956522915291e-09,0.9032837496968313
alcoholic,1985,plural,5.229889188385073e-09,1.4903466397494671e-09,0.7782300089068198
alcoholic,1985,singular,1.1361865099550933e-08,1.209801370194441e-09,0.9037676211736991
alcoholic,1986,plural,5.064804290252514e-09,1.2843096903430202e-09,0.797718280965157
alcoholic,1986,singular,9.20771382949072e-09,1.1143011275598675e-09,0.8920461622855207
alcoholic,1987,plural,3.796374516338931e-09,1.1034365802028594e-09,0.7748001793412714
alcoholic,1987,singular,7.882813513049314e-09,1.2795036934727072e-09,0.8603515175656746
alcoholic,1988,plural,3.3575280016557524e-09,1.288384510189644e-09,0.7226842935796296
alcoholic,1988,singular,6.901447730760831e-09,1.3134098729241014e-09,0.8401177553783833
alcoholic,1989,plural,2.874060545110524e-09,1.480926175340918e-09,0.6599470284521548
alcoholic,1989,singular,6.173590083591307e-09,1.3172334175795946e-09,0.8241537239031602
alcoholic,1990,plural,2.3087658768921368e-09,1.5739868773424956e-09,0.5946208844676334
alcoholic,1990,singular,5.082414743031092e-09,1.3888795669103615e-09,0.7853783956670444
alcoholic,1991,plural,2.7412135735919006e-09,1.8189311168370639e-09,0.601124253654776
alcoholic,1991,singular,4.755399439306172e-09,1.4084433777991227e-09,0.7714991411055214
alcoholic,1992,plural,2.542155279933971e-09,1.755476906696783e-09,0.5915246278735089
alcoholic,1992,singular,4.782045426310333e-09,1.4138430109207026e-09,0.7718094789401091
alcoholic,1993,plural,2.2850047092554907e-09,2.018906676757938e-09,0.5309135119931024
alcoholic,1993,singular,4.518717051331984e-09,1.4279285531770822e-09,0.7598766349731099
alcoholic,1994,plural,2.2407015766644024e-09,2.1385950470837703e-09,0.5116578686434399
alcoholic,1994,singular,4.411427318678258e-09,1.333433633351636e-09,0.7678910517615785
alcoholic,1995,plural,2.2269268016929443e-09,2.2763579909934606e-09,0.49451165187456103
alcoholic,1995,singular,4.1946848534329155e-09,1.4263750022383955e-09,0.7462444736646472
alcoholic,1996,plural,2.146161851409748e-09,2.372646047886308e-09,0.4749398290960939
alcoholic,1996,singular,4.420247152430485e-09,1.603537112617102e-09,0.73379904690122
alcoholic,1997,plural,1.988755969430299e-09,3.086409508920188e-09,0.3918603202031311
alcoholic,1997,singular,4.062923838635665e-09,1.7404973652799883e-09,0.7000911524213252
alcoholic,1998,plural,1.2112865115693999e-09,3.398251584891503e-09,0.2627782841190526
alcoholic,1998,singular,3.97512074051016e-09,1.8039738116014195e-09,0.6878449045374626
alcoholic,1999,plural,1.1023731570438044e-09,3.593582003398004e-09,0.23474950662435418
alcoholic,1999,singular,3.4581554445419933e-09,1.887082934359796e-09,0.6469600042893674
alcoholic,2000,plural,1.1336318669500194e-09,3.4569271889495204e-09,0.24694854224631674
alcoholic,2000,singular,3.185026448931134e-09,1.876826107226138e-09,0.6292214981759684
alcoholic,2001,plural,1.2295173886947961e-09,3.6785213605331325e-09,0.25051093756914783
alcoholic,2001,singular,2.9523711570738395e-09,1.8688049996384848e-09,0.6123757069036724
alcoholic,2002,plural,1.3670178600211356e-09,3.749391812896923e-09,0.2671830340828591
alcoholic,2002,singular,2.9448228776120443e-09,1.904983139487472e-09,0.6072042607949978
alcoholic,2003,plural,1.26615608870522e-09,4.250461760335611e-09,0.2295167298792258
alcoholic,2003,singular,2.5161902561521288e-09,1.883354789582776e-09,0.5719205576929879
alcoholic,2004,plural,1.290584024569798e-09,3.930100181800558e-09,0.2472059166105102
alcoholic,2004,singular,2.4170435177138317e-09,1.668001562268476e-09,0.5916809901457195
alcoholic,2005,plural,1.6324149095961867e-09,3.850912636390749e-09,0.2977051609457284
alcoholic,2005,singular,2.297721980935664e-09,1.628933400864087e-09,0.5851600809140836
alcoholic,2006,plural,1.649840621263467e-09,4.3687258255431516e-09,0.27412518177627715
alcoholic,2006,singular,2.189329194125987e-09,1.6210764000998015e-09,0.5745659195555591
alcoholic,2007,plural,1.5552151630008176e-09,5.217010981947315e-09,0.22964607644724905
alcoholic,2007,singular,2.3387841980542542e-09,1.6860560566759171e-09,0.5810874593856517
alcoholic,2008,plural,1.432642877346219e-09,5.4390052144676875e-09,0.2084860659632593
alcoholic,2008,singular,2.311405971384366e-09,1.681420653503502e-09,0.5788896409819141
alcoholic,2009,plural,1.3203234537430472e-09,5.67478226314628e-09,0.1887496068222662
alcoholic,2009,singular,2.2712986729495853e-09,1.7041313122539187e-09,0.5713340899986487
alcoholic,2010,plural,1.4158800719167783e-09,5.6070999589406625e-09,0.2016067347045998
alcoholic,2010,singular,2.359197123372577e-09,1.64175305096746e-09,0.5896592110802105
alcoholic,2011,plural,1.4351801413958754e-09,5.788897964161979e-09,0.19866619939943858
alcoholic,2011,singular,2.4494921170768532e-09,1.7418544067433167e-09,0.5844165122487374
alcoholic,2012,plural,1.1444941661054031e-09,6.121572835939202e-09,0.15751219549494283
alcoholic,2012,singular,2.3486336209188607e-09,1.6903990905449614e-09,0.5814841791830082
alcoholic,2013,plural,1.186214174505754e-09,6.075450745665226e-09,0.16335292078966157
alcoholic,2013,singular,2.3293085397010518e-09,1.6841596371465683e-09,0.5803729933970994
alcoholic,2014,plural,1.2015635391422158e-09,5.346877036365478e-09,0.1834885000921093
alcoholic,2014,singular,2.189524149289111e-09,1.510182138072683e-09,0.5918102625520655
alcoholic,2015,plural,1.087989642822862e-09,5.126493198202655e-09,0.17507323950440282
alcoholic,2015,singular,2.081460813231826e-09,1.3050863524797863e-09,0.6146262583631994
alcoholic,2016,plural,1.0353690523981891e-09,4.7785189138949136e-09,0.17808548399984628
alcoholic,2016,singular,2.086675308733886e-09,1.191884365013353e-09,0.6364609817667021
alcoholic,2017,plural,9.760305804314602e-10,4.576710418054593e-09,0.17577455543083562
alcoholic,2017,singular,1.970654565456679e-09,1.0179872084181696e-09,0.6593813225402643
alcoholic,2018,plural,9.489993346711855e-10,4.2766729713150655e-09,0.18160329984412965
alcoholic,2018,singular,1.901790991354346e-09,8.836181508709017e-10,0.6827689916444433
alcoholic,2019,plural,9.90859172489422e-10,3.8506811073091285e-09,0.20465783928800654
alcoholic,2019,singular,1.7999501333854082e-09,8.989381669599615e-10,0.6669227967511931
anorexic,1980,plural,6.962505373829333e-11,5.370764710941969e-10,0.11475997815815074
anorexic,1980,singular,2.673117808454124e-10,3.861404351030677e-10,0.40907624814985394
anorexic,1981,plural,6.763940399842231e-11,7.120441419023697e-10,0.08675238095511745
anorexic,1981,singular,3.3939085668827877e-10,5.137761922251776e-10,0.397801177530833
anorexic,1982,plural,9.517188128852335e-11,8.500705298405566e-10,0.10068515776269683
anorexic,1982,singular,4.3542336006626865e-10,5.918126108220685e-10,0.4238786144625772
anorexic,1983,plural,8.752769986971768e-11,1.18128151704866e-09,0.06898412992482883
anorexic,1983,singular,5.621363335135093e-10,7.089848460301823e-10,0.4422366195765109
anorexic,1984,plural,1.3647076772221083e-10,1.3094538945220992e-09,0.09438304172112676
anorexic,1984,singular,5.716105485767793e-10,7.115213091332275e-10,0.44548075487497224
anorexic,1985,plural,1.4159479095173947e-10,1.5443021861294424e-09,0.0839878076042847
anorexic,1985,singular,6.686936084219853e-10,8.905214819522808e-10,0.4288655314780692
anorexic,1986,plural,1.4700493699321927e-10,1.746275933380202e-09,0.0776456041433645
anorexic,1986,singular,7.340059472925121e-10,9.128728011604485e-10,0.4456951964326579
