Year,number,IF_proportion
1980,plural,0.6278100962659654
1980,singular,0.7778678627278856
1981,plural,0.6082506616735022
1981,singular,0.7670442842032059
1982,plural,0.59659975328682
1982,singular,0.7624087133733052
1983,plural,0.5946139128208756
1983,singular,0.7553917775650788
1984,plural,0.585118361673391
1984,singular,0.7384580438317857
1985,plural,0.564336561785117
1985,singular,0.7219425570302936
1986,plural,0.5479287495995243
1986,singular,0.7148290396168964
1987,plural,0.5357920774760847
1987,singular,0.6872640195894296
1988,plural,0.5219051445204318
1988,singular,0.6764611661941431
1989,plural,0.5125286206526469
1989,singular,0.6507965881301764
1990,plural,0.49510969885115147
1990,singular,0.629641246977275
1991,plural,0.48601330216247446
1991,singular,0.6220822544254774
1992,plural,0.46488449013380795
1992,singular,0.6094204056534255
1993,plural,0.4512490668927868
1993,singular,0.5827882103458957
1994,plural,0.44458789452579517
1994,singular,0.5735995604179921
1995,plural,0.4343172346198039
1995,singular,0.574347342974068
1996,plural,0.41858236326687404
1996,singular,0.5681045704247649
1997,plural,0.403534454393904
1997,singular,0.5597307605052623
1998,plural,0.3853077838182573
1998,singular,0.5539104951975897
1999,plural,0.39485373271809443
1999,singular,0.5560523430620544
2000,plural,0.38988471502881134
2000,singular,0.5585777140334752
2001,plural,0.3843114752177241
2001,singular,0.5557697121386513
2002,plural,0.37953303758424833
2002,singular,0.5463514818382876
2003,plural,0.36061429536196205
2003,singular,0.549060886316459
2004,plural,0.35811627146782565
2004,singular,0.546998408334689
2005,plural,0.35639400895416284
2005,singular,0.540920970963144
2006,plural,0.34230759585782866
2006,singular,0.5296602485171564
2007,plural,0.33571530241302583
2007,singular,0.5236314681213065
2008,plural,0.32155120134919174
2008,singular,0.5213755160622425
2009,plural,0.31832972489722844
2009,singular,0.5202415480266847
2010,plural,0.32520869894816834
2010,singular,0.5185782462022966
2011,plural,0.3230432533773371
2011,singular,0.5207473516768878
2012,plural,0.3200072770836137
2012,singular,0.5214160624838375
2013,plural,0.31772624975870284
2013,singular,0.5216790085721656
2014,plural,0.31478754866470926
2014,singular,0.5202257885112815
2015,plural,0.3159940423730157
2015,singular,0.5206843775064839
2016,plural,0.31283426980056067
2016,singular,0.5205016784195884
2017,plural,0.3062691313351034
2017,singular,0.5168292433659617
2018,plural,0.30350351348148413
2018,singular,0.5120621926381339
2019,plural,0.30288647145119224
2019,singular,0.5071135670372078
