Year,number,IF,PF,IF_proportion
1980,plural,1.234432319320974e-06,6.920577265968698e-08,0.9469133549522627
1980,singular,7.723392902239667e-07,4.809726229148706e-08,0.9413760123875258
1981,plural,1.2880228921158652e-06,6.45214589732403e-08,0.9522962341890778
1981,singular,7.654018849705322e-07,4.516569184923444e-08,0.9442789310344235
1982,plural,1.3530263255207007e-06,6.852117857241475e-08,0.9517981788331947
1982,singular,7.725194803377886e-07,4.555863232998312e-08,0.94431016840016
1983,plural,1.3950504239643763e-06,7.814552562337985e-08,0.946955104210511
1983,singular,7.691758745065931e-07,5.102179478662967e-08,0.9377932945961722
1984,plural,1.417890013904922e-06,9.057050049080767e-08,0.9399583219935398
1984,singular,7.666409672998325e-07,5.717194529553501e-08,0.9306008143093817
1985,plural,1.3809731228097462e-06,1.0304399994189226e-07,0.9305641435249548
1985,singular,7.469377245952757e-07,6.587034156071188e-08,0.9189595375545024
1986,plural,1.3778786824941515e-06,1.1672985365608821e-07,0.9218993797822426
1986,singular,7.425089115131336e-07,7.918968950274789e-08,0.9036268415148276
1987,plural,1.3557454310076023e-06,1.3684079243347913e-07,0.9083196734068738
1987,singular,7.39750264061292e-07,9.619093561456595e-08,0.8849309788154183
1988,plural,1.3421300072033262e-06,1.6064541363428449e-07,0.8931008509942593
1988,singular,7.233135893505122e-07,1.1352861838418282e-07,0.8643368877252247
1989,plural,1.372625550230643e-06,1.8467965647028795e-07,0.8814107500086499
1989,singular,7.179575729780334e-07,1.3762832319134747e-07,0.839141430676294
1990,plural,1.393812881013324e-06,2.1161594935596518e-07,0.8681872747312703
1990,singular,7.027369207513496e-07,1.7223481175750772e-07,0.8031538558809794
1991,plural,1.4136116681885293e-06,2.38907218605422e-07,0.8554284489486681
1991,singular,6.883598346384531e-07,2.0040845628248916e-07,0.7745098938275287
1992,plural,1.4399816224033063e-06,2.7182294336533917e-07,0.841206789138757
1992,singular,6.895087737410408e-07,2.2944971056085682e-07,0.7503154772708125
1993,plural,1.4714976632527823e-06,3.094438174816979e-07,0.8262470604289144
1993,singular,6.808372520716668e-07,2.524429666893115e-07,0.7295099996607081
1994,plural,1.5117235465467565e-06,3.4925219472312484e-07,0.8123284538438936
1994,singular,6.696872223373373e-07,2.7443357987538437e-07,0.7093236593959179
1995,plural,1.5775596048283761e-06,3.8425218851520897e-07,0.8041340204911733
1995,singular,6.877842746959889e-07,2.945118003921348e-07,0.7001802126047245
1996,plural,1.6330344320959557e-06,4.306575646413029e-07,0.7913169381273069
