target,slope_lo,slope_hi,curv_lo,curv_hi,n_boot,n_fail,nsim_requested,git_commit
alcoholic,-0.1670145199669949,-0.16609561286289765,0.06285763780484563,0.06465954737018133,300,0,2000,74fb3fb
anorexic,-0.03959079843072831,-0.03899664286050348,0.02830059214587324,0.030577373617224957,300,0,2000,74fb3fb
anxious,-0.05635598516350745,-0.05563420735334971,0.008939866919700445,0.010601980316997299,300,0,2000,74fb3fb
autistic,-0.11981548822497984,-0.11749676545820831,0.09931279313797836,0.10411725757495896,300,0,2000,74fb3fb
bipolar,-6.937923544644805e-05,0.0010707408606388017,0.02485843731940922,0.028352869590401106,300,0,2000,74fb3fb
bulimic,-0.10010120789332852,-0.0989850094496401,0.01772066836689676,0.020803879555049948,300,0,2000,74fb3fb
depressed,-0.08703922765091406,-0.08598593263209393,-0.006607891193966761,-0.004310177809693648,300,0,2000,74fb3fb
diabetic,-0.04996446722888825,-0.04941307460819533,0.03474064190701293,0.03706106261182215,300,0,2000,74fb3fb
disabled,-0.06453739977812688,-0.06375278209140045,0.021267774405420315,0.02337603187792833,300,0,2000,74fb3fb
dyslexic,-0.10087502533802722,-0.10072327548585665,0.037342848742382924,0.03764644162222169,300,0,2000,74fb3fb
epileptic,-0.00606848490030165,-0.005107211831936993,0.011673292841867655,0.014981613827209885,300,0,2000,74fb3fb
mentally ill,-0.16362597419480746,-0.1624776407127587,0.03082317172113768,0.03418316468872432,300,0,2000,74fb3fb
obese,-0.019972203356929924,-0.0187626085324965,-0.01085400752681402,-0.008718015933627418,300,0,2000,74fb3fb
psychotic,-0.17986695786663115,-0.17796936771603725,0.007018865621101558,0.012524343349668931,300,0,2000,74fb3fb
schizophrenic,-0.16870732410422873,-0.1670277854938504,0.09775810918936471,0.10004378020628624,300,0,2000,74fb3fb
